Key,ConceptId,CanonicalTermRU,CurrentTextOrVariant,SourceTermId,SourceFile,SourceKeyOrFunction,ComponentOrModule,ContextOrScreen,TriggerCondition,ReplacementTarget,Notes
CONCEPT_POINTS_CURRENCY__ST3_3392,CONCEPT_POINTS_CURRENCY,💰,Нельзя отправить пойнты самому себе.,ST3_3392,docs/ui/ui-dm.js,p2p_self_transfer_forbidden,ui,"dm_ui,p2p,economy_toasts,disabled_states",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=927; forbiddenSynonymMapped=пойнты
CONCEPT_POINTS_CURRENCY__ST3_3395,CONCEPT_POINTS_CURRENCY,💰,Передать 💰,ST3_3395,docs/ui/ui-dm.js,label,ui,"dm_ui,economy_toasts",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Button; taxonomyCategory=ResourceName; inventoryNotes=line=945
CONCEPT_POINTS_CURRENCY__ST3_3396,CONCEPT_POINTS_CURRENCY,💰,Попросить 💰,ST3_3396,docs/ui/ui-dm.js,label,ui,"dm_ui,economy_toasts",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Button; taxonomyCategory=ResourceName; inventoryNotes=line=945
CONCEPT_POINTS_CURRENCY__ST3_3398,CONCEPT_POINTS_CURRENCY,💰,"Сколько 💰 вы хотите передать ${target.name || """"}?",ST3_3398,docs/ui/ui-dm.js,promptText,ui,"dm_ui,economy_toasts",dynamic_template,💰,"STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=target.name || """"; line=956"
CONCEPT_POINTS_CURRENCY__ST3_3399,CONCEPT_POINTS_CURRENCY,💰,"Сколько 💰 ${target.name || """"} должен передать вам?",ST3_3399,docs/ui/ui-dm.js,promptText,ui,"dm_ui,economy_toasts",dynamic_template,💰,"STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=target.name || """"; line=957"
CONCEPT_POINTS_CURRENCY__ST3_3400,CONCEPT_POINTS_CURRENCY,💰,"Вы отправили ${amount} 💰 ${target.name || """"}.",ST3_3400,docs/ui/ui-dm.js,showP2PSystem,ui,"dm_ui,p2p,economy_toasts",dynamic_template,💰,"STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=amount|target.name || """"; line=972"
CONCEPT_POINTS_CURRENCY__ST3_3401,CONCEPT_POINTS_CURRENCY,💰,"${target.name || """"} отправил(а) вам ${amount} 💰.",ST3_3401,docs/ui/ui-dm.js,showP2PSystem,ui,"dm_ui,p2p,economy_toasts",dynamic_template,💰,"STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=target.name || """"|amount; line=973"
CONCEPT_POINTS_CURRENCY__ST3_3436,CONCEPT_POINTS_CURRENCY,💰,Не хватает пойнтов.,ST3_3436,docs/ui/ui-events.js,msg,ui,"events_voting_crowd,economy_toasts,disabled_states",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Error; taxonomyCategory=Error; inventoryNotes=line=844; forbiddenSynonymMapped=пойнтов
CONCEPT_POINTS_CURRENCY__ST3_3439,CONCEPT_POINTS_CURRENCY,💰,Не хватает пойнтов.,ST3_3439,docs/ui/ui-events.js,if,ui,"events_voting_crowd,economy_toasts,disabled_states",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Error; taxonomyCategory=Error; inventoryNotes=line=888; forbiddenSynonymMapped=пойнтов
CONCEPT_POINTS_CURRENCY__ST3_3440,CONCEPT_POINTS_CURRENCY,💰,Не хватает пойнтов.,ST3_3440,docs/ui/ui-events.js,if,ui,"events_voting_crowd,economy_toasts,disabled_states",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Error; taxonomyCategory=Error; inventoryNotes=line=892; forbiddenSynonymMapped=пойнтов
CONCEPT_POINTS_CURRENCY__ST3_3441,CONCEPT_POINTS_CURRENCY,💰,Не хватает пойнтов.,ST3_3441,docs/ui/ui-events.js,setEventNote,ui,"events_voting_crowd,economy_toasts,disabled_states",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Error; taxonomyCategory=Error; inventoryNotes=line=893; forbiddenSynonymMapped=пойнтов
CONCEPT_POINTS_CURRENCY__ST3_3442,CONCEPT_POINTS_CURRENCY,💰,Не хватает пойнтов.,ST3_3442,docs/ui/ui-events.js,showVoteBtnToast,ui,"events_voting_crowd,economy_toasts,disabled_states",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Button; taxonomyCategory=Error; inventoryNotes=line=894; forbiddenSynonymMapped=пойнтов
CONCEPT_POINTS_CURRENCY__ST3_3443,CONCEPT_POINTS_CURRENCY,💰,Не хватает пойнтов.,ST3_3443,docs/ui/ui-events.js,if,ui,"events_voting_crowd,economy_toasts,disabled_states",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Error; taxonomyCategory=Error; inventoryNotes=line=895; forbiddenSynonymMapped=пойнтов
CONCEPT_POINTS_CURRENCY__ST3_3452,CONCEPT_POINTS_CURRENCY,💰,+{rep}⭐ {pointsSign}{points}💰,ST3_3452,docs/ui/ui-events.js,4,ui,"events_voting_crowd,respect_econ08,economy_toasts",dynamic_template,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=rep|pointsSign|points; line=982
CONCEPT_POINTS_CURRENCY__ST3_3462,CONCEPT_POINTS_CURRENCY,💰,+${ptsSum}💰,ST3_3462,docs/ui/ui-events.js,ptsStr,ui,"events_voting_crowd,economy_toasts",dynamic_template,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=ptsSum; line=1081
CONCEPT_POINTS_CURRENCY__ST3_3463,CONCEPT_POINTS_CURRENCY,💰,${ptsSum}💰,ST3_3463,docs/ui/ui-events.js,ptsStr,ui,"events_voting_crowd,economy_toasts",dynamic_template,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=ptsSum; line=1081
CONCEPT_POINTS_CURRENCY__ST3_3489,CONCEPT_POINTS_CURRENCY,💰,Не хватает 💰,ST3_3489,docs/ui/ui-menu.js,if,ui,"economy_toasts,disabled_states",static_string,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=480
CONCEPT_POINTS_CURRENCY__ST3_3493,CONCEPT_POINTS_CURRENCY,💰,Тренировка аргумента (${price} 💰),ST3_3493,docs/ui/ui-menu.js,price,ui,"dm_ui,price_caps,economy_toasts",dynamic_template,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=price; line=502
CONCEPT_POINTS_CURRENCY__ST3_3494,CONCEPT_POINTS_CURRENCY,💰,"Цена ${price} 💰 • ${status.canTrain ? ""доступно"" : formatCooldownText(status)}",ST3_3494,docs/ui/ui-menu.js,formatCooldownText,ui,"training_econ04,price_caps,cooldowns,economy_toasts",dynamic_template,💰,"STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=price|status.canTrain ? ""доступно"" : formatCooldownText(status); line=504"
CONCEPT_POINTS_CURRENCY__RUNTIME_RESULT_CARD_NUMERIC_SUMMARY,CONCEPT_POINTS_CURRENCY,💰,{name}: {resultLine}; ΔREP {repDelta}; Δ💰 {pointsDelta},RUNTIME_RESULT_CARD_NUMERIC_SUMMARY,docs/ui/ui-battles.js,renderBattleResult,ui,result_cards,forbidden_placeholder_dynamic_template,💰,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Other; taxonomyCategory=ResourceName; inventoryNotes=variables=name|resultLine|repDelta|pointsDelta; runtime-composed text family; forbiddenSynonymMapped=P
CONCEPT_REPUTATION__ST3_0308,CONCEPT_REPUTATION,⭐,"Cap: max REP на этой неделе. Пополните сверхпойнты, чтобы конвертировать в REP.",ST3_0308,AsyncScene/Web/data.js,rep,root,"respect_econ08,price_caps,economy_toasts",static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=311; forbiddenSynonymMapped=REP
CONCEPT_REPUTATION__ST3_0764,CONCEPT_REPUTATION,⭐,+1⭐,ST3_0764,AsyncScene/Web/events.js,pushSystem,events,events_voting_crowd,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=SystemLine; taxonomyCategory=ResourceName; inventoryNotes=line=159
CONCEPT_REPUTATION__ST3_1040,CONCEPT_REPUTATION,⭐,Репутация,ST3_1040,AsyncScene/Web/index.html,html_text_or_attribute,root,general_interface,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=83; forbiddenSynonymMapped=Репутация
CONCEPT_REPUTATION__ST3_1180,CONCEPT_REPUTATION,⭐,⭐,ST3_1180,AsyncScene/Web/state.js,icons,state,general_interface,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Other; taxonomyCategory=ResourceName; inventoryNotes=line=693
CONCEPT_REPUTATION__ST3_1240,CONCEPT_REPUTATION,⭐,Это ложный донос — штраф ${repPenalty}⭐. Будьте внимательнее.,ST3_1240,AsyncScene/Web/state.js,penaltyMsg,state,"respect_econ08,economy_toasts",dynamic_template,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=repPenalty; line=3691
CONCEPT_REPUTATION__ST3_1242,CONCEPT_REPUTATION,⭐,+${repSum}⭐,ST3_1242,AsyncScene/Web/state.js,repMsg,state,respect_econ08,dynamic_template,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=repSum; line=3763
CONCEPT_REPUTATION__ST3_1247,CONCEPT_REPUTATION,⭐,+1⭐ +1💰,ST3_1247,AsyncScene/Web/state.js,pushSystem,state,economy_toasts,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=3835
CONCEPT_REPUTATION__ST3_1261,CONCEPT_REPUTATION,⭐,Кап: каждые 5 💰 -> +1 ⭐.,ST3_1261,AsyncScene/Web/state.js,Кап,state,economy_toasts,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=4380
CONCEPT_REPUTATION__ST3_1265,CONCEPT_REPUTATION,⭐,-1⭐,ST3_1265,AsyncScene/Web/state.js,reason,state,general_interface,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=EconomyReason; taxonomyCategory=ResourceName; inventoryNotes=line=4775
CONCEPT_REPUTATION__ST3_1270,CONCEPT_REPUTATION,⭐,+5⭐,ST3_1270,AsyncScene/Web/state.js,reason,state,general_interface,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=EconomyReason; taxonomyCategory=ResourceName; inventoryNotes=line=4921
CONCEPT_REPUTATION__ST3_1271,CONCEPT_REPUTATION,⭐,-1⭐,ST3_1271,AsyncScene/Web/state.js,reason,state,general_interface,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=EconomyReason; taxonomyCategory=ResourceName; inventoryNotes=line=4922
CONCEPT_REPUTATION__ST3_1483,CONCEPT_REPUTATION,⭐,"−1⭐, при успехе +1⭐",ST3_1483,AsyncScene/Web/ui/ui-battles.js,leaveBtn,ui,battle_ui,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Button; taxonomyCategory=ResourceName; inventoryNotes=line=2609
CONCEPT_REPUTATION__ST3_1489,CONCEPT_REPUTATION,⭐,"−1⭐, при успехе +1⭐",ST3_1489,AsyncScene/Web/ui/ui-battles.js,t,ui,battle_ui,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Other; taxonomyCategory=ResourceName; inventoryNotes=line=2800
CONCEPT_REPUTATION__ST3_1593,CONCEPT_REPUTATION,⭐,⭐,ST3_1593,AsyncScene/Web/ui/ui-core.js,if,ui,general_interface,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Other; taxonomyCategory=ResourceName; inventoryNotes=line=819
CONCEPT_REPUTATION__ST3_1597,CONCEPT_REPUTATION,⭐,"span[title=""Репутация""]",ST3_1597,AsyncScene/Web/ui/ui-core.js,if,ui,general_interface,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=BlockTitle; taxonomyCategory=ResourceName; inventoryNotes=line=846; forbiddenSynonymMapped=Репутация
CONCEPT_REPUTATION__ST3_1601,CONCEPT_REPUTATION,⭐,⭐,ST3_1601,AsyncScene/Web/ui/ui-core.js,icons,ui,general_interface,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Other; taxonomyCategory=ResourceName; inventoryNotes=line=894
CONCEPT_REPUTATION__ST3_1610,CONCEPT_REPUTATION,⭐,Цель получила +1 REP,ST3_1610,AsyncScene/Web/ui/ui-dm.js,showRespectToast,ui,"dm_ui,respect_econ08,economy_toasts",static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=62; forbiddenSynonymMapped=REP
CONCEPT_REPUTATION__ST3_1612,CONCEPT_REPUTATION,⭐,Цель получила +1 REP,ST3_1612,AsyncScene/Web/ui/ui-dm.js,callDevToastProbe,ui,"dm_ui,respect_econ08,economy_toasts",static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=64; forbiddenSynonymMapped=REP
CONCEPT_REPUTATION__ST3_1614,CONCEPT_REPUTATION,⭐,Цель получила +1 REP,ST3_1614,AsyncScene/Web/ui/ui-dm.js,__toastTapePush__,ui,"dm_ui,respect_econ08,economy_toasts",static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=68; forbiddenSynonymMapped=REP
CONCEPT_REPUTATION__ST3_1719,CONCEPT_REPUTATION,⭐,+{rep}⭐ {pointsSign}{points}💰,ST3_1719,AsyncScene/Web/ui/ui-events.js,4,ui,"events_voting_crowd,respect_econ08,economy_toasts",dynamic_template,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=rep|pointsSign|points; line=982
CONCEPT_REPUTATION__ST3_1727,CONCEPT_REPUTATION,⭐,+${repSum}⭐,ST3_1727,AsyncScene/Web/ui/ui-events.js,repStr,ui,"events_voting_crowd,respect_econ08",dynamic_template,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=repSum; line=1080
CONCEPT_REPUTATION__ST3_1728,CONCEPT_REPUTATION,⭐,${repSum}⭐,ST3_1728,AsyncScene/Web/ui/ui-events.js,repStr,ui,"events_voting_crowd,respect_econ08",dynamic_template,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=repSum; line=1080
CONCEPT_REPUTATION__ST3_2049,CONCEPT_REPUTATION,⭐,"Cap: max REP на этой неделе. Пополните сверхпойнты, чтобы конвертировать в REP.",ST3_2049,docs/data.js,rep,root,"respect_econ08,price_caps,economy_toasts",static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=311; forbiddenSynonymMapped=REP
CONCEPT_REPUTATION__ST3_2548,CONCEPT_REPUTATION,⭐,репутация,ST3_2548,docs/data/style-lex.js,social,data,general_interface,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=61; forbiddenSynonymMapped=репутация
CONCEPT_REPUTATION__ST3_2754,CONCEPT_REPUTATION,⭐,репутация,ST3_2754,docs/data/style-lex.js,social,data,general_interface,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=547; forbiddenSynonymMapped=репутация
CONCEPT_REPUTATION__ST3_2781,CONCEPT_REPUTATION,⭐,Цель получила +1 REP,ST3_2781,docs/data/style-lex.js,add,data,respect_econ08,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=698; forbiddenSynonymMapped=REP
CONCEPT_REPUTATION__ST3_2793,CONCEPT_REPUTATION,⭐,+1⭐ +1💰,ST3_2793,docs/data/style-lex.js,add,data,economy_toasts,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=711
CONCEPT_REPUTATION__ST3_2829,CONCEPT_REPUTATION,⭐,+1⭐,ST3_2829,docs/events.js,pushSystem,events,events_voting_crowd,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=SystemLine; taxonomyCategory=ResourceName; inventoryNotes=line=159
CONCEPT_REPUTATION__ST3_2895,CONCEPT_REPUTATION,⭐,Репутация,ST3_2895,docs/index.html,html_text_or_attribute,root,general_interface,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=33; forbiddenSynonymMapped=Репутация
CONCEPT_REPUTATION__ST3_3035,CONCEPT_REPUTATION,⭐,⭐,ST3_3035,docs/state.js,icons,state,general_interface,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Other; taxonomyCategory=ResourceName; inventoryNotes=line=693
CONCEPT_REPUTATION__ST3_3095,CONCEPT_REPUTATION,⭐,Это ложный донос — штраф ${repPenalty}⭐. Будьте внимательнее.,ST3_3095,docs/state.js,penaltyMsg,state,"respect_econ08,economy_toasts",dynamic_template,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=repPenalty; line=3708
CONCEPT_REPUTATION__ST3_3097,CONCEPT_REPUTATION,⭐,+${repSum}⭐,ST3_3097,docs/state.js,repMsg,state,respect_econ08,dynamic_template,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=repSum; line=3780
CONCEPT_REPUTATION__ST3_3102,CONCEPT_REPUTATION,⭐,+1⭐ +1💰,ST3_3102,docs/state.js,pushSystem,state,economy_toasts,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=3852
CONCEPT_REPUTATION__ST3_3116,CONCEPT_REPUTATION,⭐,Кап: каждые 5 💰 -> +1 ⭐.,ST3_3116,docs/state.js,Кап,state,economy_toasts,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=4397
CONCEPT_REPUTATION__ST3_3120,CONCEPT_REPUTATION,⭐,-1⭐,ST3_3120,docs/state.js,reason,state,general_interface,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=EconomyReason; taxonomyCategory=ResourceName; inventoryNotes=line=4792
CONCEPT_REPUTATION__ST3_3125,CONCEPT_REPUTATION,⭐,+5⭐,ST3_3125,docs/state.js,reason,state,general_interface,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=EconomyReason; taxonomyCategory=ResourceName; inventoryNotes=line=4938
CONCEPT_REPUTATION__ST3_3126,CONCEPT_REPUTATION,⭐,-1⭐,ST3_3126,docs/state.js,reason,state,general_interface,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=EconomyReason; taxonomyCategory=ResourceName; inventoryNotes=line=4939
CONCEPT_REPUTATION__ST3_3220,CONCEPT_REPUTATION,⭐,"−1⭐, при успехе +1⭐",ST3_3220,docs/ui/ui-battles.js,leaveBtn,ui,battle_ui,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Button; taxonomyCategory=ResourceName; inventoryNotes=line=2600
CONCEPT_REPUTATION__ST3_3226,CONCEPT_REPUTATION,⭐,"−1⭐, при успехе +1⭐",ST3_3226,docs/ui/ui-battles.js,t,ui,battle_ui,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Other; taxonomyCategory=ResourceName; inventoryNotes=line=2791
CONCEPT_REPUTATION__ST3_3330,CONCEPT_REPUTATION,⭐,⭐,ST3_3330,docs/ui/ui-core.js,if,ui,general_interface,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Other; taxonomyCategory=ResourceName; inventoryNotes=line=819
CONCEPT_REPUTATION__ST3_3334,CONCEPT_REPUTATION,⭐,"span[title=""Репутация""]",ST3_3334,docs/ui/ui-core.js,if,ui,general_interface,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=BlockTitle; taxonomyCategory=ResourceName; inventoryNotes=line=846; forbiddenSynonymMapped=Репутация
CONCEPT_REPUTATION__ST3_3338,CONCEPT_REPUTATION,⭐,⭐,ST3_3338,docs/ui/ui-core.js,icons,ui,general_interface,static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Other; taxonomyCategory=ResourceName; inventoryNotes=line=894
CONCEPT_REPUTATION__ST3_3347,CONCEPT_REPUTATION,⭐,Цель получила +1 REP,ST3_3347,docs/ui/ui-dm.js,showRespectToast,ui,"dm_ui,respect_econ08,economy_toasts",static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=62; forbiddenSynonymMapped=REP
CONCEPT_REPUTATION__ST3_3349,CONCEPT_REPUTATION,⭐,Цель получила +1 REP,ST3_3349,docs/ui/ui-dm.js,callDevToastProbe,ui,"dm_ui,respect_econ08,economy_toasts",static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=64; forbiddenSynonymMapped=REP
CONCEPT_REPUTATION__ST3_3351,CONCEPT_REPUTATION,⭐,Цель получила +1 REP,ST3_3351,docs/ui/ui-dm.js,__toastTapePush__,ui,"dm_ui,respect_econ08,economy_toasts",static_string,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=68; forbiddenSynonymMapped=REP
CONCEPT_REPUTATION__ST3_3452,CONCEPT_REPUTATION,⭐,+{rep}⭐ {pointsSign}{points}💰,ST3_3452,docs/ui/ui-events.js,4,ui,"events_voting_crowd,respect_econ08,economy_toasts",dynamic_template,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=rep|pointsSign|points; line=982
CONCEPT_REPUTATION__ST3_3460,CONCEPT_REPUTATION,⭐,+${repSum}⭐,ST3_3460,docs/ui/ui-events.js,repStr,ui,"events_voting_crowd,respect_econ08",dynamic_template,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=repSum; line=1080
CONCEPT_REPUTATION__ST3_3461,CONCEPT_REPUTATION,⭐,${repSum}⭐,ST3_3461,docs/ui/ui-events.js,repStr,ui,"events_voting_crowd,respect_econ08",dynamic_template,⭐,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=variables=repSum; line=1080
CONCEPT_INSUFFICIENT_FUNDS__ST3_0737,CONCEPT_INSUFFICIENT_FUNDS,Не хватает 💰.,Не прокает: мало 💰 на баттл.,ST3_0737,AsyncScene/Web/data.js,pointsLow,root,"battle_ui,economy_toasts",static_string,Не хватает 💰.,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=ResourceName; taxonomyCategory=ResourceName; inventoryNotes=line=2432; forbiddenSynonymMapped=Не прокает: мало 💰 на баттл.
CONCEPT_INSUFFICIENT_FUNDS__ST3_0800,CONCEPT_INSUFFICIENT_FUNDS,Не хватает 💰.,Не хватает пойнтов.,ST3_0800,AsyncScene/Web/events.js,if,events,"events_voting_crowd,economy_toasts,disabled_states",static_string,Не хватает 💰.,STEP3_TERMINOLOGY_WHERE_USED_V1; replacement_map_only_no_ui_change; inventoryCategory=Error; taxonomyCategory=Error; inventoryNotes=line=1366; forbiddenSynonymMapped=Не хватает пойнтов.
